player_name,ppg,rpg,apg,total_games
Damian Jones,3.6,2.3,0.6,49
Will Bynum,3.6,0.8,1.3,15
Felton Spencer,3.5,4.1,0.3,167
Dominic McGuire,3.5,3.8,1.7,64
Sean Lampley,3.4,1.1,0.2,10
J.R. Bremer,3.3,1.0,1.4,36
Tim Legler,3.3,1.0,1.0,23
Oscar Torres,3.1,0.7,0.2,17
Troy Hudson,3.1,0.8,1.0,9
Ray Owes,3.1,2.9,0.3,57
Josh Powell,3.1,2.4,0.6,37
Ansu Sesay,3.1,2.4,0.8,16
Jermareo Davidson,3.0,2.4,0.1,14
James Michael McAdoo,3.0,1.7,0.3,108
Cedric Henderson,3.0,0.3,0.3,12
Alen Smailagic,3.0,1.5,0.6,29
Chris Wright,2.9,1.9,0.2,24
Bill Curley,2.9,1.8,0.4,48
Chris Taft,2.8,2.1,0.1,17
Jeremy Lin,2.6,1.2,1.4,29
Adam Keefe,2.5,3.1,0.5,67
Jeff Adrien,2.5,2.5,0.4,23
Gary Payton II,2.5,1.1,0.1,10
Lou Roe,2.4,0.8,0.4,17
Chris Garner,2.4,1.5,2.3,8
Anderson Varejao,2.3,2.5,0.7,67
Tim Young,2.2,1.4,0.2,25
Mickell Gladness,2.2,2.2,0.2,26
Earl Barron,2.0,0.5,0.0,2
Jeff Grayer,2.0,0.8,0.4,5
Zach Norvell Jr.,2.0,1.2,0.6,5
Gerald Madkins,1.9,0.8,2.4,19
Dean Oliver,1.8,0.7,1.3,35
Duane Ferrell,1.7,0.9,0.4,58
Patrick O'Bryant,1.7,1.2,0.4,40
Chasson Randle,1.7,0.7,1.7,3
Charlie Bell,1.7,0.9,0.7,19
Hilton Armstrong,1.7,3.1,0.3,15
Jiri Welsch,1.6,0.8,0.7,37
Nikoloz Tskitishvili,1.4,1.2,0.3,35
Kosta Perovic,1.4,1.9,0.1,7
Jacob Evans,1.3,0.8,0.8,30
Marcus Williams,1.3,0.4,1.4,9
Scott Machado,1.3,0.2,1.0,6
Ruben Garces,1.2,2.2,0.4,13
Nemanja Nedovic,1.1,0.6,0.5,24
Dean Garrett,1.1,1.7,0.1,34
